species	external_id	current_symbol	prev_or_alias
zebrafish	NCBI_Gene:567413	sox5	sox5
zebrafish	ZDB-GENE-000607-14	id:ibd2170	id:ibd2170
zebrafish	NCBI_Gene:57950	id:ibd2170	id:ibd2170
zebrafish	ZDB-GENE-000607-16	bcl7a	bcl7a
zebrafish	NCBI_Gene:57952	bcl7a	bcl7a
zebrafish	ZDB-GENE-000607-21	slc7a6	slc7a6
zebrafish	NCBI_Gene:57957	slc7a6	slc7a6
zebrafish	ZDB-GENE-000607-24	id:ibd5025	id:ibd5025
zebrafish	NCBI_Gene:57960	id:ibd5025	id:ibd5025
zebrafish	ZDB-GENE-000607-26	id:ibd5011	id:ibd5011
zebrafish	NCBI_Gene:57962	id:ibd5011	id:ibd5011
zebrafish	ZDB-GENE-000607-29	id:ibd5038	id:ibd5038
zebrafish	NCBI_Gene:57965	id:ibd5038	id:ibd5038
zebrafish	ZDB-GENE-000607-46	id:ibd5010	id:ibd5010
zebrafish	NCBI_Gene:57984	id:ibd5010	id:ibd5010
zebrafish	ZDB-GENE-000607-49	adgrl2a	adgrl2a
zebrafish	NCBI_Gene:57987	adgrl2a	adgrl2a
zebrafish	ZDB-GENE-000607-52	kat6b	kat6b
zebrafish	NCBI_Gene:568932	kat6b	kat6b
zebrafish	ZDB-GENE-000607-58	tlcd5a	tlcd5a
zebrafish	NCBI_Gene:562331	tlcd5a	tlcd5a
zebrafish	ZDB-GENE-000607-62	id:ibd5052	id:ibd5052
zebrafish	NCBI_Gene:58000	id:ibd5052	id:ibd5052
zebrafish	ZDB-GENE-000607-65	evla	evla
zebrafish	NCBI_Gene:58003	evla	evla
zebrafish	ZDB-GENE-000607-70	hey1	hey1
zebrafish	NCBI_Gene:58008	hey1	hey1
zebrafish	ZDB-GENE-000607-73	id:ibd1043	id:ibd1043
zebrafish	NCBI_Gene:58011	id:ibd1043	id:ibd1043
zebrafish	ZDB-GENE-000607-75	noc2l	noc2l
zebrafish	NCBI_Gene:58013	noc2l	noc2l
zebrafish	ZDB-GENE-000607-77	si:ch211-285f17.1	si:ch211-285f17.1
zebrafish	NCBI_Gene:562465	si:ch211-285f17.1	si:ch211-285f17.1
zebrafish	ZDB-GENE-000607-78	hccsb	hccsb
zebrafish	NCBI_Gene:58016	hccsb	hccsb
zebrafish	ZDB-GENE-000607-8	id:ibd2908	id:ibd2908
zebrafish	NCBI_Gene:57944	id:ibd2908	id:ibd2908
zebrafish	ZDB-GENE-000607-80	sv2	sv2
